name;website;git;technologies;version;description;usage
vite-reactts18-chakra-jest-husky;;https://github.com/The24thDS/vite-reactts18-chakra-jest-husky;react,vite,testing-library,jest,typescript,eslint,prettier,chakra-ui,husky,yarn,commitizen;;This is a React 18 + TypeScript + Chakra UI boilerplate to be built with Vite. It also includes Husky and a pre-commit hook that runs yarn format.;"npx degit The24thDS/vite-reactts18-chakra-jest-husky my-app
cd my-app
git init
yarn install && yarn dev"
react-ts-vite-template;;https://github.com/fabien-ml/react-ts-vite-template;react,css modules,vite,e2e,testing-library,jest,cypress,typescript,eslint,prettier,npm;;This is a React + TypeScript boilerplate built with Vite.;"npx degit fabien-ml/react-ts-vite-template my-app
cd my-app
git init
npm install"
vite-reactts-tailwind-rtk-eslint;;https://github.com/IsaiaPhiliph/vite-reactts-tailwind-rtk-eslint;react,vite,typescript,tailwindcss,redux,redux-toolkit;;This is a React + TypeScript + Tailwind + RTK + eslint boilerplate built with Vite.;"git clone https://github.com/IsaiaPhiliph/vite-reactts-tailwind-rtk-eslint
cd vite-reactts-tailwind-rtk-eslint
rm -rf .git
git init
npm i
npm run dev"
vite-react-tailwind-template;;https://github.com/Innei/vite-react-tailwind-template;vite,react,eslint,prettier,husky,lint-staged,tailwindcss,pnpm,typescript;;Vite React Tailwind Template;"git clone https://github.com/Innei/vite-react-tailwind-template my-app
cd my-app
rm -rf .git
git init
pnpm i
pnpm dev"
tropical;https://tropical.js.org/;https://github.com/bensmithett/tropical;react,fela,vite,ladle,mdx,json feeds,islands,yarpm;;Fast, mostly-just-HTML static sites with islands of client-side JS. Read the website for additional information.;"Should be used as template repo, or just:
git clone https://github.com/bensmithett/tropical my-app
rm -rf .git
git init"
stratival;;https://github.com/rizkimcitra/stravital;vite,yarn,react,tailwindcss,typescript,eslint,prettier,conventional changelog,husky,lint-staged,aliases,clsx,react-icons;;Kickstart your Web Application with React 18, Vite and Tailwind CSS.;"git clone https://github.com/rizkimcitra/stravital
cd stratival
yarn install && yarn dev"
vite-react-ts-tailwind-firebase-starter;;https://github.com/TeXmeijin/vite-react-ts-tailwind-firebase-starter;vite,react,typescript,tailwindcss,prettier,daisyui,firebase,aliases,headlessui,renovate,eslint;;Starter using Vite + React + TypeScript + Tailwind with Firebase.;git clone
uchihamalolan/vite-react-ts;;https://github.com/uchihamalolan/vite-react-ts;react,vite,typescript,jest,testing-library,eslint,prettier,tailwindcss,aliases,lint-staged,husky;;"Drop-in Replacement for CRA but powered by Vite
- Import SVG's directly as React Component via SVGR
- Unit Testing via Jest & React Testing Library
- ESLint Rules & Prettier
- Tailwind
- Absolute imports within src directory";npx degit uchihamalolan/vite-react-ts your-app-name
vite-react-ts-ghactions-template;;https://github.com/pchmn/vite-react-ts-ghactions-template;react,vite,typescript,vitest,testing-library,github-actions,github pages,eslint,prettier,husky,commitlint,lint-staged,codecov;;This a React 18 + TypeScript + Vitest and React Testing Library + GitHub Actions starter template built with Vite 4.;"npx degit pchmn/vite-react-ts-ghactions-template app_name
cd app_name
pnpm i
pnpm dev"
vital;;https://github.com/jvidalv/vital;react,tailwindcss,css modules,vite,aliases,jest,typescript,heroicons,commitlint;;"Vite with React 18, typescript and tailwind.
Go to Netlify and select your repository, OK along the way, and your App will be live in a minute.";"npx degit jvidalv/vital my-vital-app
cd my-vital-app
yarn"
template-vite-react-tailwind-v3;;https://github.com/huibizhang/template-vite-react-tailwind-v3;react,css,vite,javascript,tailwindcss;;React 17 + TailwindCSS;git clone
template-vite-react-ts-tailwind-v3;;https://github.com/huibizhang/template-vite-react-ts-tailwind-v3;react,vite,typescript,tailwindcss,prettier;;"template of: vite + react + typescript
tailwindcss: v3.x";git clone
vite-react-starter;;https://github.com/coderfabri/vite-react-starter;vite,react,tailwindcss,eslint,prettier,scss,emotion,jest,testing-library,react router,stylelint,prop-types,pnpm;;"Opinionated Vite starter template.

An starter template for Vite React 18 projects including a bunch of useful tools and libraries enforcing best practices and autofix on save.

For styling it comes with SASS, Emotion, and TailwindCSS ready to use. Choose your favorite CSS framework and get started. It also includes the @namics/stylelint-bem plugin for BEM style validation.";git clone
chrome-extension-boilerplate-react-vite;;https://github.com/Jonghakseo/chrome-extension-boilerplate-react-viteg;react,scss,vite,testing-library,jest,typescript,eslint,prettier,chrome extension,yarn;;Chrome Extension Boilerplate with React 18 + Vite + TypeScript;<git clone>
vite-ant-design-pro;;https://github.com/Dunqing/vite-ant-design-pro;react,vite,typescript,react-query,react router,ant-design,react-intl,axios,classnames;;Vite Ant Design Pro.;"npm create ant-design-pro@latest
yarn create ant-design-pro
pnpm create ant-design-pro"
vite-rtk-query;;https://github.com/laststance/vite-rtk-query;react,vite,redux-toolkit,redux,rtkquery,typescript,prettier,eslint,vitest,testing-library,react-hooks-testing-library,msw,tailwindcss,github-actions,npm;;"Vite RTK Query temptelte.
This include React+TS with familiar pre-setup tooling
Redux Toolkit, RTK Query, eslint/prettier, Vitest/TS/react-testing-library/MSW, tailwindcss, GitHub Actions CI.
This is the official Vite template(npm init vite@latest myapp -- --template react-ts) and some extended setup.";npx degit laststance/vite-rtk-query myapp
vite-react-proste;;https://github.com/xyhxx/vite-react-proste;react,vite,typescript,react router,axios,scss,vitest,testing-library,react-query,eslint,stylelint,cypress,react-error-boundary,aliases,commitlint,commitizen,conventional changelog,prettier,lint-staged;;Simple, convenient, out of the box, using vite's react template;Clone this repo, like git clone https://github.com/xyhxx/vite-react-proste.git. In addition, you can click "Use this template" to copy this template to your repositories
vite-react-ts-minimal-template;;https://github.com/alessandropisu/vite-react-ts-minimal-template;react,vite,typescript,husky,eslint,prettier;;A modern minimal Vite + React + TypeScript template with pre-configured ESLint (with Airbnb JS/React rules), Prettier and Git hooks powered by Husky out of the box 📦;"npx degit alessandropisu/vite-react-ts-minimal-template my-app
cd my-app
git init
yarn install
yarn dev"
browser-app-boilerplate;;https://github.com/EverSeenTOTOTO/browser-app-boilerplate/tree/react-vite-ssr;react,vite,ssr,express,mobx,react router,commitizen,husky,lint-staged,postcss,scss,stylelint,make;;"A react ssr🚀 project boilerplate with full typescript, vite, eslint, stylelint, husky, lint-staged, commitlint support. NO combined UI library or style library, especially built for those who always want to choose eject and keep things under control.

Production use of this project is possible, but will require advanced refactoring and optimization due to many implementation details.";"git clone https://github.com/EverSeenTOTOTO/browser-app-boilerplate.git my-project -b react-vite-ssr --depth 1
cd my-project
yarn"
viact;;https://github.com/MR-Mostafa/Viact;vite,react,react router,typescript,unocss,https,eslint,prettier,postcss,commitlint,aliases,json-server,storybook,scss,yarn;;Viact is a starter template for React 18 + TypeScript that uses Vitejs, which supports RTL for specific styles, proxy fetching API (to fix CORS errors) and a simple mock REST API server. Additionally, Is set up VScode, Storybook, ErrorBoundary, UnoCss (atomic CSS engine), Eslint, Prettier, and more.;"git clone https://github.com/MR-Mostafa/Viact.git
cd Viact
yarn install
yarn run reset"
viterts;;https://github.com/erdoganbulut/viterts/;react,vite,typescript,react router,redux-toolkit,ant-design,jest,eslint,prettier,scss,css modules;;Viterts. Opinionated template;"npx degit erdoganbulut/viterts my-viterts-app
cd my-viterts-app
yarn # If you don't have yarn installed, run: npm install -g yarn"
viterc;;https://github.com/potreco/viterc;vite,react,typescript,eslint,prettier,husky,jest,aliases,commitlint,commitizen;;A minimal Vite + React + TypeScript template with pre-configured ESLint (with Airbnb JS/React rules), Prettier, Testing with Jest and Git hooks with Husky out of the box;"npx degit potreco/viterc my-app
cd my-app
git init
yarn install
yarn dev"
vrttv;;https://github.com/Drumpy/vrttv-boilerplate;vite,react,react router,typescript,tailwindcss,prettier,eslint,husky,pre-commit,lint-staged,conventional commits,github-actions,vercel,commitlint,postcss;;"Are you tired of always creating the same structure from scratch for your projects? Me too.

This is my go-to when I start a new project on front-end development.

If you found it useful somehow, I would be grateful if you could leave a star in the project's GitHub repository";npx degit Drumpy/vrttv-boilerplate your-folder-name
react-pwa;;https://github.com/suren-atoyan/react-pwa;react,recoil,react router,vite,typescript,eslint,prettier,mui,notifications,notistack,husky,lint-staged,pwa,https,npm;;This project (a GitHub template) is an opinionated setup for modern web applications built on React 18. It's a combination of essential (and minimal) libraries/components/utils/etc., which developers usually need during the process of making modern React applications.;<git clone> or use as template
